Group_Name,AGC_protein_kinase_PKG_family,AGC_protein_kinase_PKG_family,AGC_protein_kinase_PKG_family,AGC_protein_kinase_PKG_family,Vasopressin_and_oxytocin_receptor,Vasopressin_and_oxytocin_receptor,Vasopressin_and_oxytocin_receptor,Vasopressin_and_oxytocin_receptor,Vasopressin_and_oxytocin_receptor,Vasopressin_and_oxytocin_receptor,Vasopressin_and_oxytocin_receptor,Vasopressin_and_oxytocin_receptor,Vasopressin_and_oxytocin_receptor,Vasopressin_and_oxytocin_receptor,Motilin_receptor,Motilin_receptor,Serine_protease_S33_family,Serine_protease_S33_family,Serine_protease_S33_family,GABA-B_receptor,GABA-B_receptor,STE_protein_kinase_STE11_family,STE_protein_kinase_STE11_family,STE_protein_kinase_STE11_family,STE_protein_kinase_STE11_family,STE_protein_kinase_STE11_family,STE_protein_kinase_STE11_family,STE_protein_kinase_STE11_family,STE_protein_kinase_STE11_family,STE_protein_kinase_STE11_family,AGC_protein_kinase_AKT_family,AGC_protein_kinase_AKT_family,AGC_protein_kinase_AKT_family,AGC_protein_kinase_AKT_family,Orexin_receptor,Orexin_receptor,Endothelin_receptor,Endothelin_receptor,Endothelin_receptor,Endothelin_receptor,Endothelin_receptor,Endothelin_receptor,Endothelin_receptor,Endothelin_receptor,Endothelin_receptor,CAMK_protein_kinase_DAPK_family,CAMK_protein_kinase_DAPK_family,CAMK_protein_kinase_DAPK_family,CAMK_protein_kinase_DAPK_family,CAMK_protein_kinase_DAPK_family,RF_amide_receptor,RF_amide_receptor,RF_amide_receptor,RF_amide_receptor,RF_amide_receptor,RF_amide_receptor,Tyrosine_protein_kinase_VEGFR_family,Tyrosine_protein_kinase_VEGFR_family,Tyrosine_protein_kinase_VEGFR_family,Tyrosine_protein_kinase_VEGFR_family,Tyrosine_protein_kinase_VEGFR_family,Serine_protease_S8B_subfamily,Serine_protease_S8B_subfamily,Serine_protease_S8B_subfamily,Serine_protease_S8B_subfamily,Metallo_protease_M2_family,Metallo_protease_M2_family,Metallo_protease_M2_family,Metallo_protease_M2_family,Metallo_protease_M2_family,Steroid-like_ligand_receptor,Steroid-like_ligand_receptor,EDG_receptor,EDG_receptor,EDG_receptor,EDG_receptor,EDG_receptor,EDG_receptor,EDG_receptor,EDG_receptor,EDG_receptor,EDG_receptor,EDG_receptor,EDG_receptor,EDG_receptor,Free_fatty_acid_receptor,Free_fatty_acid_receptor,Free_fatty_acid_receptor,Free_fatty_acid_receptor,Free_fatty_acid_receptor,Other_protein_kinase_PEK_family,Other_protein_kinase_PEK_family,Other_protein_kinase_PEK_family,Other_protein_kinase_PEK_family,MCH_receptor,MCH_receptor,MCH_receptor,MCH_receptor,Nuclear_hormone_receptor_subfamily_3_group_C_member_2,Nuclear_hormone_receptor_subfamily_3_group_C_member_2,Hydroxycarboxylic_acid_receptor,Hydroxycarboxylic_acid_receptor,Hydroxycarboxylic_acid_receptor,Hydroxycarboxylic_acid_receptor,Leukotriene_receptor,Leukotriene_receptor,Leukotriene_receptor,Leukotriene_receptor,Leukotriene_receptor,Other_protein_kinase_NAK_family,Other_protein_kinase_NAK_family,Other_protein_kinase_NAK_family,Other_protein_kinase_NAK_family,Metallo_protease_M13_family,Metallo_protease_M13_family,Metallo_protease_M13_family,Metallo_protease_M13_family,Metallo_protease_M13_family,Metallo_protease_M13_family,Metallo_protease_M13_family
Organism_TID,11019,20158,12264,11018,112,134,10549,12719,148,17076,116,11680,12720,10930,11061,101152,38,11727,12673,10227,12078,30034,103452,103456,12276,101399,30050,102711,102799,100414,101582,10695,10696,12666,12968,10009,247,249,12790,11286,12789,12569,103910,12863,17081,10778,30045,10051,11150,30005,10682,101356,103469,100862,102734,102733,10979,10980,12469,11752,12413,12186,11126,11337,11402,69,10438,11848,12243,12568,100857,103561,19689,105654,101397,10808,10809,101505,10814,11562,12023,100433,10950,100435,11631,100867,100956,100859,100431,104260,100925,101333,102667,102669,20157,102927,20162,19905,48,11010,100429,18013,100430,100579,103780,179,103101,10542,102414,30004,30042,30000,20020,11192,236,10441,12898,11766,11711,12128
RMSE_SimMTL_(No_Randomisation),0.403561669,0.535281446,0.665691053,0.320815947,0.736523572,0.783922161,0.668750179,0.668085189,0.761901397,0.551861059,0.799139369,0.705195633,0.492765872,0.555644573,0.808787097,0.688650467,1.141577931,0.918526052,1.141773817,1.18650139,0.652099835,0.416835918,0.346866887,0.399991403,0.602765588,0.473258682,0.510534157,0.546344802,1.071701383,0.891450232,0.571068976,0.422790551,0.390505861,0.610219846,0.826153203,0.761153944,0.549870002,0.796634549,0.643266677,0.73998663,0.840364739,0.819319508,0.955557522,0.517123211,0.65484917,0.31465902,0.518701505,0.534720332,0.362078656,0.44773925,1.152135955,0.480996227,0.427706831,0.894663792,0.81116562,0.839890654,0.628252727,0.693705572,0.54858839,0.555630517,0.763599941,0.856120728,1.02705296,0.613248813,0.570649284,1.055305439,0.889827722,0.894671348,0.622173765,0.954300547,0.760477066,0.445354744,0.778222732,0.475704769,0.487873736,0.702732944,0.598785576,0.761169282,0.708701989,0.512360616,0.742389633,0.413526001,0.603652399,0.427426067,0.876142704,0.775219925,0.759554713,0.719961282,0.733077148,0.73165768,0.789286578,0.610819892,0.7271106,0.666433201,0.694187245,0.600220986,0.83594215,0.743430702,0.623336403,0.621288665,0.452888872,0.891721367,0.756183954,0.69484733,0.653591065,0.697621185,1.391145427,0.839386316,0.722340174,0.717135564,0.512558175,0.374656547,1.032615433,0.836792462,0.964223778,0.70412356,0.661573114,0.590845531,0.791579701,0.884530931
RMSE_SimMTL_(Randomised_Similarity_Values)_Iter_1,0.558523024,1.607033232,0.672237569,0.321348879,1.102261791,1.024488283,0.969019557,1.252955771,1.033114462,0.647918614,1.062059057,0.997819585,0.919662555,0.603785445,1.108878559,0.995435484,1.88268445,0.978596844,1.284024519,1.266094106,0.692388178,0.574089517,0.517001683,0.536245513,0.622829554,0.691237665,0.555900373,0.724718801,1.374512095,1.43425186,1.43470802,0.461819107,0.41857512,0.633328574,0.902733915,0.825374379,1.193494919,1.131022744,0.868870757,0.890276754,0.921413273,1.121734578,1.483710607,1.020916151,1.072929335,0.400740949,0.540538445,0.548771714,0.396508508,0.515896932,1.819768374,0.491313597,0.526406566,0.941182791,0.947804101,0.893824083,0.674073209,0.700668405,0.552222915,0.561048752,0.781882219,1.117725481,1.51455451,0.712483754,0.590146479,1.088244419,0.920793887,1.201889831,0.613304658,0.993182952,0.760339662,0.547225763,0.875014921,0.599574034,0.644632769,0.751245839,0.784862296,0.873398359,0.841037991,0.993710493,0.878324125,0.457079026,1.171025151,1.304586845,0.540807287,0.846830295,1.102966992,0.751844064,0.760901359,0.781612656,0.831726385,0.684254215,0.741053972,0.755098801,0.776794782,0.632554237,1.228872117,0.760843331,0.632567219,1.615660885,0.456586018,0.949057748,0.795208986,0.699540455,1.314164085,0.75711067,1.456116234,0.870466063,0.751260577,0.772509657,0.67930223,0.543468978,1.082155216,0.987478218,1.036153533,0.787018892,0.918794168,0.669937452,0.830505635,0.927964177
RMSE_SimMTL_(Randomised_Similarity_Values)_Iter_2,0.40876577,0.560699644,0.651956042,0.445436742,1.103104658,1.036573205,0.953190087,1.259587815,1.017759867,0.636597869,1.036330408,0.97777046,0.911048976,0.636007977,0.81028592,0.701371302,1.950684924,0.980425119,1.276978461,1.247938766,1.753245622,0.570821408,0.477260585,0.51639209,0.648888595,0.637627898,0.586475546,1.32419519,0.744650994,0.884901747,0.585136731,0.452924311,0.404140586,0.63101353,0.920007447,0.827881768,1.200890885,1.133586274,0.784885415,0.88644785,1.103503294,0.924009486,1.490256551,1.015933171,1.080536995,0.360927874,0.548406832,0.55427255,0.398662051,0.495461492,2.540768374,0.505703217,0.478473629,0.919415099,0.925223987,0.907956095,0.683187367,0.704826255,0.547796486,0.567405466,1.208677581,0.997141954,1.357223778,0.622224273,0.606904967,1.130287669,1.129837664,1.204665317,1.710246783,1.006188807,2.236576837,0.504343205,0.889442569,0.646995363,0.663334464,0.779448609,0.8113275,0.899148261,0.841870537,1.022643186,0.881613412,0.468081755,1.180462231,1.331341024,0.518279994,1.170420915,1.085335023,0.747184749,0.768954832,0.784049249,0.835925527,0.658509201,0.908518282,0.734455859,0.82634898,0.632174159,1.225107502,0.773457007,0.634011992,0.603131809,0.864384652,0.959117913,0.779794084,0.69939493,1.211164085,0.701690869,1.427737713,0.900756231,0.739863742,0.720665628,0.600113712,0.390008237,1.061076143,0.980724797,1.017551228,0.792400554,0.919198046,0.69502266,0.865616186,0.918983611
RMSE_SimMTL_(Randomised_Similarity_Values)_Iter_3,0.560943795,0.431028872,1.727081358,0.341045458,1.113541465,1.020788013,0.970632195,1.360317234,1.006423831,0.604346879,1.020541319,0.994341824,0.907831665,0.663092121,0.810640516,1.304435484,1.94029713,0.971030826,1.160930585,1.321277564,0.703780071,0.569609469,0.555878308,0.480833382,1.618461915,0.639246221,0.912092851,1.333473378,0.772126287,2.25825186,0.591111911,0.459490744,0.398897848,0.633072776,0.913208814,0.829110796,1.212310082,1.152547856,0.797209101,0.902914546,1.129629128,0.915538243,1.389753448,1.03161784,1.078169514,0.354256859,0.539768986,0.549941158,0.377116256,0.481098641,1.106098115,0.558680257,0.474608719,0.908801441,0.949247374,0.951733542,0.67224149,0.704514381,0.54371047,0.568101571,0.761624359,0.986184548,1.499661207,0.758138224,0.614603549,1.070168112,0.898382135,1.185538817,0.637323211,0.975379517,0.764766929,0.525678707,0.8706757,0.615412437,0.595258054,0.764391588,0.800993937,0.871571912,0.823282368,0.994587256,0.878129008,0.51393783,1.160346969,1.319907255,0.520028029,0.844183867,1.089336511,0.687091758,0.765993683,0.783537667,0.835013166,0.648979663,0.795125415,0.755945863,0.770272452,0.656454674,1.22863041,0.764401417,1.268123184,0.614933221,0.541061623,0.95163645,0.772404269,0.819990086,0.706783759,0.740426429,1.421601974,0.890761453,0.744585452,0.76430535,0.649871099,0.519685878,1.06163951,0.991713063,1.028684005,0.782842481,0.855239187,0.682755345,1.011256383,0.914210747
RMSE_SimMTL_(Randomised_Similarity_Values)_Iter_4,0.420885733,0.548455286,1.418081358,0.324814096,1.085160363,1.024000291,0.953393066,1.284543018,0.991859233,0.64309689,1.037254442,0.978037931,0.89544991,0.569167288,1.520878559,0.694838595,1.923439147,0.990235221,1.246332266,1.372950485,0.667421441,0.574892999,0.509063039,0.523800533,0.647124538,0.549222395,0.562620751,0.722636613,1.296873337,0.912489878,0.609071698,0.465708371,0.409391974,0.636157011,0.908211571,0.825612096,1.204568503,1.122728234,0.841973063,0.883489105,1.114008684,0.902513897,1.478297018,0.998522794,1.053097265,0.337517247,0.537270699,0.546315378,0.400269533,0.521750737,1.164336986,0.505372622,0.428919224,0.961750668,0.949188237,0.913051382,0.677825597,0.705338876,0.569035893,0.887969758,0.763946242,1.070268598,1.322246583,0.855343181,0.573290076,1.100597655,0.901145676,1.22467276,0.886246783,0.976146991,0.756133432,0.485459257,0.861857417,0.629102479,0.606559342,0.78612621,0.791647175,0.936067728,0.82526712,0.983836979,0.893404824,0.517598936,1.169928535,1.316307545,1.444541126,0.837203836,1.083385157,0.957844064,0.760465209,0.803752012,1.485242063,0.63480917,0.732714855,0.726256965,0.752926035,0.635509719,1.214481963,0.762283183,1.989123184,0.622627054,0.460536613,0.952797165,0.822179487,0.69766614,0.695746761,0.72476025,1.426754609,0.863871278,0.750355896,0.71790766,0.580421887,0.506186678,1.199220289,0.988727752,1.044372875,0.773195733,0.899542535,0.701060387,0.805251094,0.912526039
RMSE_SimMTL_(Randomised_Similarity_Values)_Iter_5,0.553570368,1.916033232,0.697081358,0.325993246,1.105924336,1.013566462,0.944742424,1.286372736,1.024559364,0.760402628,1.032746505,1.000477083,0.933792511,0.619235759,1.932878559,1.819435484,1.889449031,1.003916893,1.318999446,1.215116887,2.062245622,0.548067179,0.504240478,0.480497809,0.794461915,0.681592692,0.593808314,1.336783139,0.7525965,0.910628746,0.597650127,0.450843906,0.402745828,0.634099721,0.910788635,0.822277631,1.195890664,1.136303369,0.715370684,0.863747131,1.106699311,0.935277185,1.304790201,1.056895449,1.042868181,0.390063899,0.537575557,0.539817105,0.412689242,0.519043366,2.231768374,0.517731647,0.455774729,0.905927942,1.056764419,0.916223313,0.678859281,0.710907153,2.033136555,0.56200555,1.929677581,1.032408381,1.406346587,0.770566212,0.586107774,1.060846521,0.893043361,1.146268959,0.640781381,0.972893478,2.030576837,0.487585568,0.87139102,0.631993252,0.648026075,0.779962251,0.783366841,0.838547821,0.81124166,0.959608153,0.864337305,0.555801384,1.181155867,0.518669472,1.323219293,0.812541593,1.121545598,1.575844064,0.763660417,0.798933638,0.81635386,0.647305024,0.76771707,0.736313321,0.817345349,0.635097349,1.218884909,0.763933292,0.620590449,0.605284301,0.456925865,0.984212459,0.812029622,1.437990086,0.707011834,0.736874618,1.454765593,0.865508151,0.741936794,1.219181207,0.603335633,0.49089599,1.067046937,0.989201204,1.017530591,0.792522907,0.889844071,0.715541972,0.86315053,0.915429675
RMSE_SimMTL_(Randomised_Similarity_Values)_Iter_6,0.419116291,0.555691756,0.640196938,0.322837217,1.114874263,1.040437748,0.961754868,1.261222839,1.029477158,0.639473272,1.04407192,1.014761834,0.926820824,0.588817938,0.864389835,0.705585687,1.9115263,0.992246018,1.305371235,1.19472594,0.654302265,0.558880383,0.506027845,0.570505246,1.206461915,0.661891436,0.575509145,1.336917153,0.745510773,0.91925186,1.84670802,0.454712469,0.414964237,0.640812858,0.911675795,0.848818574,1.178900965,1.118356874,0.805707775,0.880436809,1.0997052,0.915276114,1.326079312,0.975422276,1.050495983,0.395871868,0.539710341,0.542543285,0.401450452,0.480206882,1.407768374,0.505944852,0.475478015,1.579750668,0.965626653,1.084823914,0.678330017,0.706022948,0.544593393,0.563524422,0.78403415,1.028197885,1.407138926,0.88348865,0.594991523,1.094319763,0.900192145,1.20274279,0.600620848,1.418188807,0.760521047,0.504112311,0.876290233,0.686237293,0.607717497,0.788355458,0.786868889,0.899407677,0.820448924,0.96648453,0.883836151,0.512243636,1.154432853,1.319711434,0.551664327,0.855202708,1.128031293,0.711107643,0.770886123,0.805531471,0.812335792,0.649096807,0.784151472,0.729271167,0.783531973,0.641406472,1.174715792,0.763066761,1.371123184,0.623625929,0.477669537,0.995447507,0.798848205,0.705157278,0.708364036,0.715544078,1.478278133,0.859980752,0.740016829,0.764114968,0.637957977,0.509987088,1.092148788,0.975743787,1.016450692,0.761582243,0.836324534,0.725469146,1.217256383,0.916329231
RMSE_SimMTL_(Randomised_Similarity_Values)_Iter_7,0.536138268,0.989033232,1.109081358,0.857436742,1.110881101,1.024849152,0.973374193,1.286301552,1.04740618,0.61887661,1.036265449,0.983555954,0.929715951,0.600721569,2.344878559,0.726221289,1.904563364,0.989575958,1.244223888,1.824909913,0.668779121,0.555859393,0.499059942,0.488827771,1.103461915,0.67117426,0.585510714,1.32640447,0.783668843,0.893344947,1.74370802,0.462229085,0.411984914,0.641892288,0.896509665,0.824158654,1.176337281,1.1164672,0.769408288,0.897649125,1.111978223,0.927567894,1.402517642,0.989804768,1.043649149,0.357259737,0.543021012,0.547354755,0.390540008,0.496683303,1.304768374,0.532507576,0.48884856,0.90096784,0.943957065,0.860783022,0.678101094,0.708149486,1.312136555,0.578791043,2.238677581,1.055387567,1.391598334,0.745203392,0.828308603,1.175223054,0.892024161,1.167305852,0.627612739,0.991439208,0.75549385,0.522419388,0.844926692,0.636099694,0.618717619,0.796591799,0.78740755,0.84831435,0.848698417,0.99211993,0.857048657,0.493739139,1.157396119,1.31346771,2.165541126,0.791129849,1.056933258,1.678844064,0.779730387,0.85302978,1.691242063,0.643932252,0.778298801,0.78117672,0.867043282,0.638675563,1.199847628,0.770519166,0.620861815,1.306660885,0.658384652,0.967765708,0.815364896,0.711646243,0.654469276,0.721552839,1.560981072,0.891934387,0.73972219,0.724189145,0.643863904,0.500468275,1.038266397,0.974758011,0.996802218,0.783224409,0.772458172,0.678850898,0.819638065,0.91570831
RMSE_SimMTL_(Randomised_Similarity_Values)_Iter_8,0.415359987,0.554795089,1.212081358,1.063436742,1.106856995,1.031009523,0.964741318,1.330376494,1.019820002,0.62170561,1.035664958,0.996306089,0.916914922,0.613296244,0.810502606,0.692247531,1.831346738,0.974303357,1.256935628,1.358562174,0.693502877,0.578927726,0.489492164,0.508736814,1.309461915,0.647901937,0.5820608,0.747364612,1.307519684,0.885500336,0.61070802,0.457341122,0.412378444,0.645707247,0.909913198,0.818719259,1.214112424,1.130838065,0.735145589,0.870701182,1.131312558,0.908272021,1.401976721,1.008482126,1.06776896,0.338021954,0.539116437,0.548251131,0.374130659,0.496502919,1.090628572,0.500184804,0.517173485,0.930923468,0.931354685,0.964821079,0.677969236,0.70920676,0.567362006,0.681969758,0.782024548,1.011283588,1.399199077,0.726723783,0.583981039,1.111812299,2.262837664,1.199066888,1.401246783,0.970795187,1.103576837,0.487743435,0.893267078,0.647736677,0.714408626,0.779353077,0.806686394,0.915536566,0.836998546,1.022289321,0.889944666,0.594811122,1.195135149,1.324959785,2.474541126,0.831266961,1.101341945,0.713821779,0.769529153,0.818100824,0.790765087,0.668637998,0.787464893,0.737804192,0.743913081,0.646728427,1.219286062,0.767787491,1.474123184,0.610776331,0.456492513,0.926919408,0.807851476,0.701436111,0.676154914,0.730518677,1.405737423,0.879423078,0.730149074,0.742661526,0.67257941,0.478080266,1.055013052,1.000102727,1.023130819,0.789963351,0.909849233,0.676404572,0.795422755,0.913314453
