fold,organism_tid,row_id,actual,prediction
1,103095,CHEMBL513909,5.0,5.000122824952203
1,103095,CHEMBL535,6.387,6.071469000000002
1,103095,CHEMBL1230020,5.0,5.047500297653474
1,103095,CHEMBL1908392,5.0,5.711436333333332
1,103095,CHEMBL300138,5.0,5.0120721707962534
1,103095,CHEMBL1336,5.0,5.002495517295808
1,103095,CHEMBL230011,5.0,5.357578946053858
1,103095,CHEMBL494089,5.0,5.652609764455782
1,30048,CHEMBL509032,6.237,5.934719845238101
1,30048,CHEMBL525191,5.0,5.000095611512672
1,30048,CHEMBL1173655,5.0,5.0026145837633305
1,30048,CHEMBL1908391,5.0,5.010544879849416
1,30048,CHEMBL440084,5.0,5.026452576719577
1,30048,CHEMBL288441,5.0,5.000133578826131
1,30048,CHEMBL119385,5.0,5.014409468630005
1,30048,CHEMBL215152,5.0,5.007855760233919
1,101465,CHEMBL1908392,6.377,5.7295833333333315
1,101465,CHEMBL572881,5.0,5.00269710517491
1,101465,CHEMBL278041,5.0,5.339454444444441
1,101465,CHEMBL101253,5.0,5.023838980632786
1,101465,CHEMBL386051,5.0,5.008030641630517
1,101465,CHEMBL261849,5.0,5.009682916923853
1,101465,CHEMBL522892,5.77,5.764568793650785
1,101465,CHEMBL1236107,5.0,5.000076928193501
1,101602,CHEMBL574738,5.523,5.466728002100842
1,101602,CHEMBL939,5.0,5.000061398531791
1,101602,CHEMBL191003,5.0,5.005792134896511
1,101602,CHEMBL1721885,6.367,5.965167285714288
1,101602,CHEMBL2309609,5.658,5.5953244444444445
1,101602,CHEMBL31965,5.0,5.018601398531791
1,101602,CHEMBL249697,5.0,5.008089592327076
1,101602,CHEMBL521851,5.0,5.0074643703703705
2,103095,CHEMBL522892,6.18,5.5457778952380865
2,103095,CHEMBL428690,5.0,5.000148477102839
2,103095,CHEMBL1236107,5.0,5.002710622524489
2,103095,CHEMBL1908393,5.0,5.004542807965686
2,103095,CHEMBL162,7.252,7.383881857142857
2,103095,CHEMBL180022,5.0,5.002225763866779
2,103095,CHEMBL249697,5.0,5.000232171577708
2,103095,CHEMBL521851,5.0,5.003490120926917
2,30048,CHEMBL491473,5.0,5.0027273133018575
2,30048,CHEMBL445813,5.0,5.000185928766203
2,30048,CHEMBL1230020,5.0,5.008762742172978
2,30048,CHEMBL1908392,5.0,5.899572500000002
2,30048,CHEMBL7064,5.638,5.095526766858839
2,30048,CHEMBL296468,5.0,5.000134987904507
2,30048,CHEMBL124660,5.0,5.000141018963537
2,30048,CHEMBL221959,5.0,5.000199887459377
2,101465,CHEMBL1908393,5.0,5.030040757965686
2,101465,CHEMBL574738,6.328,5.27368680763953
2,101465,CHEMBL24828,5.0,5.000138789447316
2,101465,CHEMBL103667,5.0,5.0078134580152405
2,101465,CHEMBL384304,5.0,5.0002721432869315
2,101465,CHEMBL572878,5.26,5.0703316166337
2,101465,CHEMBL464552,5.0,5.005645837449706
2,101465,CHEMBL1240703,5.0,5.108854369837332
2,101602,CHEMBL558752,5.0,5.016254538316483
